code,name,pe,pb,yield,market
9958,世紀鋼,15.79,2.34,4.27,TW
6412,群電,16.75,2.41,4.25,TW
9926,新海,18.45,2.1,4.25,TW
5288,豐祥-KY,12.76,1.75,4.23,TW
8422,可寧衛*,22.19,3.82,4.23,TW
4560,強信-KY,11.8,1.22,4.21,TW
2890,永豐金,16.89,1.75,4.21,TW
1708,東鹼,11.62,1.28,4.2,TW
7732,金興精密,20.4,1.25,4.18,TW
3501,維熹,15.98,0.82,4.17,TW
8249,菱光,15.85,0.89,4.17,TW
1907,永豐餘,20.21,0.53,4.16,TW
2377,微星,14.85,1.56,4.16,TW
3090,日電貿,24.17,1.89,4.14,TW
6782,視陽,13.73,3.04,4.13,TW
2892,第一金,15.59,1.43,4.12,TW
2207,和泰車,14.35,3.15,4.11,TW
6606,建德工業,23.07,1.71,4.1,TW
2397,友通,24.06,2.02,4.09,TW
1103,嘉泥,16.01,0.49,4.09,TW
9908,大台北,17.12,1.04,4.07,TW
7786,東方風能,13.64,2.45,4.07,TW
2889,國票金,23.1,1.15,4.05,TW
4439,冠星-KY,12.81,1.12,4.04,TW
3010,華立,14.93,1.43,4.02,TW
3652,精聯,22.35,1.16,4.01,TW
2404,漢唐,20.73,10.1,4.01,TW
2356,英業達,20.64,2.35,4.0,TW
6614,資拓宏宇,21.76,2.07,3.99,TW
6671,三能-KY,12.68,1.03,3.99,TW
1617,榮星,22.13,1.09,3.99,TW
7765,中華資安,21.91,4.5,3.98,TW
6414,樺漢,15.96,1.85,3.98,TW
2072,世紀風電,13.7,1.47,3.96,TW
3028,增你強,24.13,2.86,3.95,TW
2912,統一超,20.83,5.11,3.94,TW
2609,陽明,10.35,0.54,3.94,TW
1256,鮮活果汁-KY,15.72,1.52,3.93,TW
8482,商億-KY,21.65,1.71,3.92,TW
2885,元大金,20.47,2.2,3.92,TW
4736,泰博,8.43,1.24,3.92,TW
8261,富鼎,21.92,2.49,3.91,TW
2451,創見,9.78,4.97,3.9,TW
2423,固緯,22.09,3.16,3.88,TW
2376,技嘉,16.98,3.5,3.88,TW
8478,東哥遊艇,12.68,1.74,3.87,TW
9937,全國,24.07,3.01,3.87,TW
6183,關貿,22.67,4.59,3.87,TW
1532,勤美,21.01,0.57,3.85,TW
2615,萬海,6.98,0.8,3.84,TW
2027,大成鋼,13.77,1.23,3.84,TW
1513,中興電,19.39,3.74,3.83,TW
2511,太子,22.51,0.49,3.81,TW
4438,廣越,21.48,0.81,3.77,TW
3231,緯創,16.94,2.61,3.77,TW
5283,禾聯碩,9.41,0.97,3.77,TW
2836,高雄銀,17.57,0.84,3.77,TW
2612,中航,10.73,0.86,3.75,TW
2324,仁寶,21.34,0.97,3.74,TW
5607,遠雄港,14.86,1.57,3.73,TW
3694,海華,15.59,2.62,3.72,TW
3266,昇陽,21.09,0.74,3.7,TW
2421,建準,18.81,4.58,3.68,TW
2945,三商家購,19.11,1.39,3.67,TW
4771,望隼,15.13,2.81,3.66,TW
8463,潤泰材,12.03,1.35,3.6,TW
3036,文曄,22.62,2.6,3.56,TW
8011,台通,15.12,1.0,3.56,TW
3413,京鼎,14.54,2.05,3.55,TW
6491,晶碩,13.61,1.9,3.52,TW
1522,堤維西,19.51,1.16,3.51,TW
6176,瑞儀,10.89,1.3,3.43,TW
1568,倉佑,21.65,1.6,3.4,TW
1725,元禎,20.72,0.87,3.38,TW
6669,緯穎,17.74,7.28,3.38,TW
4967,十銓,7.6,3.56,3.37,TW
3406,玉晶光,15.62,2.18,3.31,TW
6416,瑞祺電通,19.67,1.73,3.31,TW
2497,怡利電,24.9,3.03,3.31,TW
1437,勤益控,12.02,0.71,3.3,TW
5269,祥碩,18.88,2.83,3.28,TW
2427,三商電,13.95,1.28,3.28,TW
1623,大東電,18.06,5.02,3.25,TW
5434,崇越,19.26,4.03,3.23,TW
3023,信邦,24.28,4.25,3.23,TW
3019,亞光,20.85,2.8,3.22,TW
2441,超豐,20.0,2.11,3.21,TW
6139,亞翔,23.75,8.72,3.19,TW
2428,興勤,17.14,2.05,3.13,TW
4551,智伸科,22.35,1.74,3.11,TW
5388,中磊,20.02,1.51,3.11,TW
3008,大立光,16.07,1.82,3.11,TW
3702,大聯大,17.19,2.1,3.09,TW
1736,喬山,14.35,2.87,3.08,TW
6908,宏碁遊戲-創,23.22,1.19,3.07,TW
1225,福懋油,20.28,2.04,3.04,TW
6197,佳必琪,22.59,6.19,3.02,TW
6278,台表科,20.89,2.38,3.01,TW
8213,志超,16.7,0.63,3.01,TW
